latitude,longitude,result
51.576871,7.048170,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576868,7.048379,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576862,7.048536,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576780,7.048600,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576674,7.048644,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576538,7.048679,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576390,7.048761,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576292,7.048775,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576120,7.048831,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575990,7.048895,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575907,7.048972,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575793,7.049064,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575776,7.049243,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575832,7.049400,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.575928,7.049547,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576040,7.049693,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576152,7.049875,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576268,7.050093,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576318,7.050225,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576367,7.050349,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576443,7.050612,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576508,7.050843,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576560,7.051016,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576593,7.051167,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576631,7.051342,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576683,7.051505,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576727,7.051707,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576766,7.051917,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576816,7.052156,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576848,7.052291,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576875,7.052430,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.576913,7.052569,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576942,7.052715,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.576970,7.052856,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577003,7.053000,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577046,7.053148,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577083,7.053315,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577115,7.053451,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577150,7.053600,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577195,7.053749,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577233,7.053894,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577270,7.054027,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577307,7.054177,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577359,7.054422,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577412,7.054632,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577432,7.054784,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577420,7.054964,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.577279,7.054962,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577157,7.055029,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577017,7.055054,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576859,7.055105,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576693,7.055163,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576537,7.055209,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576400,7.055237,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576303,7.055258,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576197,7.055274,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576068,7.055339,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576001,7.055510,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576038,7.055737,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576058,7.055965,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576097,7.056227,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576118,7.056373,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576154,7.056625,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576200,7.056852,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576208,7.057025,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576227,7.057168,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576231,7.057362,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576203,7.057556,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576317,7.057517,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576405,7.057468,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576501,7.057682,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576620,7.057587,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576747,7.057456,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576878,7.057335,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.576981,7.057251,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577061,7.057179,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577121,7.057060,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577240,7.056970,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577342,7.056914,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577468,7.056883,route 396 from Gelsenkirchen Lucasstraße to Gelsenkirchen Buer Rathaus
51.577602,7.056920,none
51.577723,7.057014,route 244 from  to 
51.577816,7.057152,route 244 from  to 
51.577879,7.057329,route 244 from  to 
51.577919,7.057523,route 244 from  to 
51.577961,7.057731,route 244 from  to 
51.578006,7.057944,route 244 from  to 
51.578052,7.058173,route 244 from  to 
51.578102,7.058428,route 244 from  to 
51.578159,7.058699,route 244 from  to 
51.578189,7.058843,route 244 from  to 
51.578225,7.058984,route 244 from  to 
51.578286,7.059245,route 244 from  to 
51.578328,7.059425,route 244 from  to 
51.578369,7.059558,route 244 from  to 
51.578466,7.059658,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578544,7.059584,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578571,7.059415,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578539,7.059259,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578490,7.059121,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578442,7.058976,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578403,7.058823,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578375,7.058667,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578355,7.058517,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578323,7.058358,route 222 from Marl Sinsen Wacholderstraße to Gelsenkirchen Buer Rathaus
51.578301,7.058212,route NE12 from Gelsenkirchen Südfriedhof to Gelsenkirchen Buer Rathaus
51.578291,7.058057,route NE12 from Gelsenkirchen Südfriedhof to Gelsenkirchen Buer Rathaus
51.578279,7.057903,route 381 from Gelsenkirchen Landschede to Gelsenkirchen Buer Rathaus
51.578185,7.057841,route NE11 from Gelsenkirchen Hauptbahnhof to Gelsenkirchen Buer Rathaus
51.578112,7.057727,route NE11 from Gelsenkirchen Hauptbahnhof to Gelsenkirchen Buer Rathaus
51.578043,7.057604,stop Buer Rathaus
51.578024,7.057457,stop Buer Rathaus
51.577969,7.057343,stop Buer Rathaus
51.577933,7.057082,stop Buer Rathaus
51.577893,7.056930,route 244 from  to 
51.577866,7.056733,route 244 from  to 
51.577757,7.056622,route 244 from  to 
51.577667,7.056582,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.577541,7.056610,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.577451,7.056666,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.577319,7.056738,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.577209,7.056812,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.577109,7.056859,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576992,7.056938,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576898,7.056965,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576806,7.057034,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576734,7.057127,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576644,7.057188,route 301 from Gelsenkirchen Essener Straße to Gelsenkirchen Hauptbahnhof
51.576502,7.057272,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.576411,7.057351,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576269,7.057443,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.576086,7.057536,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575990,7.057575,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575897,7.057606,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575713,7.057669,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575607,7.057688,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575481,7.057722,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
